sep=,
DeviceTag:,RW2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2024-06-16 16:28:34.083 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status,Euler_X,Euler_Y,Euler_Z
1450,1485919441,3.1897497,3.3261437,-0.91572857,0,-33.62624892458896,16.182151426466397,-173.66723607719558
1451,1485936108,3.5604625,2.5131586,-0.93000984,0,-33.31412349554835,15.453178225574163,-175.4379274532292
1452,1485952775,2.861593,1.5814455,-1.4110727,0,-33.046275198069544,14.802988176965926,-177.13490009394215
1453,1485969442,2.3940854,1.4483739,-1.735959,0,-33.34555002770134,14.30674012160245,-178.74093370365455
1454,1485986109,2.1797097,1.6697454,-1.5844097,0,-34.07996073949639,13.956026737445415,179.8728714040172
1455,1486002776,1.7932309,2.188893,-1.9702835,0,-35.08873326355546,13.693884591812834,178.7202598797137
1456,1486019443,2.0246,1.9736395,-2.1650796,0,-35.876721760331485,13.439395366842039,177.6735326938266
1457,1486036110,1.9743869,0.62463194,-1.7730007,0,-36.402360105700026,13.16732194439658,176.64470491279448
1458,1486052777,1.200182,0.11024639,-0.6150837,0,-36.95966394574857,12.886248803346586,175.543429956788
1459,1486069444,0.67134196,-0.38740188,0.04150009,0,-37.891183469716964,12.61965528591319,174.3241908272262
1460,1486086111,-0.005456936,0.9365866,0.452693,0,-39.15846916091479,12.397375785589825,173.09702759047502
1461,1486102778,-0.38729146,2.3037305,0.97539234,0,-40.237556878579014,12.20285460655832,172.00738681959987
1462,1486119445,-0.80161625,1.0097644,1.0491428,0,-41.10257731180984,11.98547381205873,171.03982735581502
1463,1486136112,-1.1138097,0.061787035,1.286375,0,-42.17892980959,11.742743879698464,170.09254621527228
1464,1486152779,-0.95694345,0.3449229,1.8756742,0,-43.5611702935251,11.42899491719484,169.16999317615984
1465,1486169446,-1.0905879,0.35131744,1.9570236,0,-45.06146668289455,10.95695349447181,168.3295585420924
1466,1486186113,-1.3904357,-0.01609137,2.148467,0,-46.77557510979117,10.35448030219264,167.60534909292727
1467,1486202780,-0.96734875,0.41248375,2.1386127,0,-48.70789946448488,9.604200082175055,167.0000266238264
1468,1486219447,0.37501562,0.55241793,1.9902382,0,-50.910828070344486,8.617353246323072,166.42408858225622
1469,1486236114,1.4207617,1.3072883,3.0614157,0,-53.13532652911308,7.317649080541231,165.82595374616005
1470,1486252781,1.7269485,1.7798723,3.4673939,0,-55.28328792509077,5.710475751664835,165.20717841775817
1471,1486269448,1.9200659,2.2505536,3.7915478,0,-57.61395566618599,3.8704493608343435,164.61493629769214
1472,1486286115,0.36316708,2.8995497,4.9675837,0,-60.30131989189846,1.986135264793493,163.9468545880962
1473,1486302782,-1.630746,5.4702034,9.114325,0,-62.20645833836821,0.5996843588152542,162.8081705120835
1474,1486319449,3.043172,12.72318,5.4349823,0,-61.75195435389113,0.5393739825177225,160.5064779038417
1475,1486336116,15.73751,18.585112,-10.787977,0,-59.81542673368414,2.6933483481744607,156.58396729897294
1476,1486352783,18.526339,15.738994,-28.155067,0,-60.92949087061833,7.93252096582313,151.6298950719645
