"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.325962375E0,4.532165743E0,-6.043652862E0,-9.014810246E-1,7.607820600E0
1.335933375E0,4.452317920E0,-6.267707056E0,-1.719879547E0,7.878151576E0
1.345904375E0,4.136033839E0,-6.141630562E0,-2.310719054E0,7.756663227E0
1.355875375E0,4.090747154E0,-5.996599149E0,-2.531008810E0,7.687614664E0
1.365846375E0,4.080502832E0,-6.555080164E0,-2.645693175E0,8.162062956E0
1.375817375E0,3.547479424E0,-7.437510375E0,-2.491054786E0,8.608514668E0
1.385788375E0,3.261679217E0,-8.100462424E0,-1.950802465E0,8.947718874E0
1.395759375E0,3.624008367E0,-8.515422361E0,-1.550951732E0,9.383565736E0
1.405730375E0,3.653125162E0,-8.738718756E0,-1.538166211E0,9.595649235E0
1.415701375E0,3.082788917E0,-8.766094251E0,-2.187001911E0,9.546254411E0
1.425672375E0,2.761453426E0,-8.414469014E0,-3.498616582E0,9.522039267E0
1.435643375E0,2.760405605E0,-8.043761389E0,-5.008710895E0,9.869605930E0
1.445614375E0,2.669152204E0,-8.084831647E0,-6.303053475E0,1.059326953E1
1.455585375E0,2.230201140E0,-8.217732427E0,-7.132246542E0,1.110737881E1
1.465556375E0,1.767698661E0,-8.325976083E0,-7.550221889E0,1.137771888E1
1.475527375E0,1.750775065E0,-8.261335698E0,-7.795611988E0,1.149288681E1
1.485498375E0,1.804136755E0,-8.510168638E0,-7.711888046E0,1.162545040E1
1.495469375E0,1.556901274E0,-8.672710708E0,-6.892963275E0,1.118717101E1
1.505440375E0,1.396197569E0,-9.038939366E0,-5.908585689E0,1.088867197E1
1.515411375E0,8.437421089E-1,-9.407106376E0,-5.147405096E0,1.075645529E1
1.525382375E0,1.418505281E-1,-9.471671332E0,-4.771385860E0,1.060654526E1
1.535353375E0,-2.408292711E-1,-8.921458864E0,-4.867194242E0,1.016562870E1
1.545324375E0,-7.018594211E-1,-8.352989050E0,-5.189143690E0,9.858612729E0
1.555295375E0,-9.524330771E-1,-8.181165694E0,-6.078385323E0,1.023647249E1
1.565266375E0,-4.157498968E-1,-7.840796932E0,-7.128644657E0,1.060511759E1
1.575237375E0,-6.517499524E-1,-7.850044888E0,-7.893394976E0,1.115139754E1
1.585208375E0,-1.658640488E0,-8.143743514E0,-8.419844944E0,1.183069886E1
