sep=,
DeviceTag:,RW2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2024-06-16 16:50:30.673 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
68, 2779444259, 0.2712759, -0.7710007, 0.45281348, -0.3562716, -2.02933, -1.1254778, 0.020335197, 0
69, 2779460926, 0.27182543, -0.7723758, 0.45110697, -0.3550371, -2.60247, -1.0702842, -0.5030823, 0
70, 2779477593, 0.2715334, -0.7729629, 0.45069906, -0.3545003, -2.8738797, -0.75888795, -0.7022791, 0
71, 2779494260, 0.27019653, -0.77279544, 0.4517168, -0.35459176, -3.18452, -0.39966178, -0.52718353, 0
72, 2779510927, 0.26841393, -0.77149594, 0.45405698, -0.3557841, -3.9668918, -0.14143386, -0.36422062, 0
73, 2779527594, 0.26642698, -0.7686438, 0.4580973, -0.35826328, -4.662241, 0.07801108, -0.41917992, 0
74, 2779544261, 0.26379335, -0.76420337, 0.46412036, -0.36194056, -5.375396, 0.28630078, -0.8711262, 0
75, 2779560928, 0.26049483, -0.75786054, 0.4724258, -0.3668871, -5.4264846, 0.7009311, -0.80972576, 0
76, 2779577595, 0.2571316, -0.74915, 0.48294255, -0.37339884, -5.2303495, 0.8015261, -1.2485676, 0
77, 2779594262, 0.25237894, -0.73840886, 0.4962039, -0.3805803, -5.293054, 1.0770403, -1.4196882, 0
78, 2779610929, 0.24636377, -0.7253413, 0.5123507, -0.38818073, -5.2917857, 1.4418304, -1.6356726, 0
79, 2779627596, 0.23917396, -0.70964915, 0.5314018, -0.39599067, -4.758223, 1.9692832, -1.6842489, 0
80, 2779644263, 0.23149794, -0.69151914, 0.5522759, -0.40398476, -3.40078, 2.4915607, -1.4787731, 0
81, 2779660930, 0.22463346, -0.671312, 0.5734603, -0.41234177, -2.559885, 2.7174132, -1.4937515, 0
82, 2779677597, 0.2184268, -0.64893025, 0.59491104, -0.4210256, -2.8231525, 2.5918784, -1.573062, 0
83, 2779694264, 0.21205512, -0.624522, 0.6168031, -0.42960593, -1.925335, 3.2609947, -1.1079788, 0
84, 2779710931, 0.20535982, -0.59892297, 0.6383348, -0.43777826, -0.7789545, 3.487584, -0.5396471, 0
85, 2779727598, 0.19802222, -0.5728471, 0.65948904, -0.44464573, 0.24998069, 3.4243708, -0.9585695, 0
86, 2779744265, 0.18996623, -0.54649466, 0.68055457, -0.44956005, 1.4915437, 3.0213077, -1.3066921, 0
87, 2779760932, 0.18124844, -0.52049327, 0.7012457, -0.4522086, 3.169649, 2.4716747, -0.90418816, 0
88, 2779777599, 0.17223863, -0.49570662, 0.7208232, -0.45279694, 4.029346, 1.8208221, -0.032053947, 0
89, 2779794266, 0.16332881, -0.4725158, 0.7387942, -0.4519271, 4.8334284, 1.3261408, 0.754385, 0
90, 2779810933, 0.15503788, -0.45123005, 0.75479925, -0.4501501, 5.4537373, 0.65451455, 1.3021917, 0
91, 2779827600, 0.14744875, -0.43228376, 0.7687027, -0.44775927, 6.103921, -0.21704918, 1.7721424, 0
92, 2779844267, 0.14098665, -0.4159942, 0.7804283, -0.44497827, 6.7366705, -1.1743853, 1.9734497, 0
93, 2779860934, 0.13574466, -0.40295443, 0.789966, -0.44176644, 7.437296, -2.0596986, 2.0653687, 0
94, 2779877601, 0.13179053, -0.39366847, 0.79727554, -0.4381899, 7.8527627, -2.7421427, 2.3882322, 0
95, 2779894268, 0.12966406, -0.38823426, 0.8020473, -0.4349526, 7.9565983, -2.984279, 2.863927, 0
96, 2779910935, 0.1295919, -0.38633192, 0.80410737, -0.4328593, 7.8138323, -3.120577, 3.3918362, 0
97, 2779927602, 0.13176876, -0.38776094, 0.80338895, -0.4322582, 7.781938, -3.0582201, 3.577961, 0
98, 2779944269, 0.13586558, -0.39269024, 0.8002076, -0.43244117, 7.563571, -3.00882, 3.5352888, 0
99, 2779960936, 0.14183305, -0.40119693, 0.7946862, -0.43289816, 7.3276315, -2.7744024, 3.1543303, 0
100, 2779977603, 0.1501352, -0.41277805, 0.78663397, -0.43391588, 6.7792125, -2.1696098, 2.7250938, 0
101, 2779994270, 0.16042276, -0.42712235, 0.7764116, -0.4347627, 5.857567, -1.4049113, 2.6288261, 0
102, 2780010937, 0.17222387, -0.4437368, 0.76404804, -0.43551096, 5.031844, -0.45962936, 3.2532425, 0
103, 2780027604, 0.18562609, -0.46223378, 0.7490715, -0.4367806, 4.303537, 0.36594748, 3.6551886, 0
104, 2780044271, 0.20070517, -0.4820867, 0.7313543, -0.4386721, 3.317181, 1.1743376, 3.2153368, 0
105, 2780060938, 0.21682204, -0.5030474, 0.71149397, -0.44012526, 2.1857038, 1.8083221, 2.718193, 0
106, 2780077605, 0.23308732, -0.5252503, 0.69000304, -0.4400915, 0.8117472, 2.4484403, 1.4303532, 0
107, 2780094272, 0.24804251, -0.5482755, 0.6684016, -0.43716192, -0.9865627, 2.9025838, 1.5318222, 0
108, 2780110939, 0.2637497, -0.5701934, 0.6455381, -0.43427935, -2.325215, 3.4855688, 1.3179626, 0
109, 2780127606, 0.2802567, -0.5905196, 0.6218154, -0.43138278, -3.0157075, 3.5552766, 0.42361546, 0
110, 2780144273, 0.29602584, -0.61004186, 0.59809417, -0.4272045, -4.054579, 3.5305037, 0.0529356, 0
111, 2780160940, 0.30999404, -0.6291813, 0.57485396, -0.42140254, -6.445484, 3.206068, -0.72948456, 0
112, 2780177607, 0.322261, -0.6469508, 0.5527778, -0.41477895, -8.586459, 2.8909974, -0.7167587, 0
113, 2780194274, 0.33237758, -0.6630613, 0.53268784, -0.40757927, -9.925039, 2.5841439, -2.1135945, 0
114, 2780210941, 0.34054157, -0.67689383, 0.51479167, -0.40104625, -10.468492, 2.3503115, -2.0658503, 0
115, 2780227608, 0.3467196, -0.68835247, 0.49941283, -0.39565852, -10.188146, 1.9444684, -2.878286, 0
116, 2780244275, 0.35092077, -0.6976491, 0.4867756, -0.3913981, -10.467023, 1.2023592, -3.805264, 0
117, 2780260942, 0.35194975, -0.7053003, 0.47786254, -0.38772777, -11.491722, 0.4843461, -4.410991, 0
118, 2780277609, 0.34933314, -0.7110233, 0.4734049, -0.38510042, -12.627726, -0.15989268, -4.1838937, 0
119, 2780294276, 0.34362835, -0.7141391, 0.47356176, -0.38427413, -12.52808, -0.5082837, -4.2578435, 0
120, 2780310943, 0.33625335, -0.7141696, 0.477799, -0.38549468, -11.424529, -0.5520605, -4.5402265, 0
121, 2780327610, 0.32877213, -0.71071017, 0.4855093, -0.38869405, -10.649738, -0.39021182, -5.0016904, 0
122, 2780344277, 0.3211443, -0.7040324, 0.49661073, -0.39317295, -10.225349, 0.19050926, -5.2454605, 0
123, 2780360944, 0.31260628, -0.6947202, 0.5110505, -0.39808396, -10.058137, 0.9184733, -5.058895, 0
124, 2780377611, 0.30315894, -0.68284065, 0.52851313, -0.4031123, -9.90362, 1.608481, -4.642928, 0
125, 2780394278, 0.29334834, -0.6678935, 0.5486716, -0.40844434, -9.037455, 2.1958697, -4.495667, 0
126, 2780410945, 0.2833487, -0.64994913, 0.57099086, -0.4138256, -8.207334, 2.6708014, -4.5311403, 0
127, 2780427612, 0.2726437, -0.6292427, 0.59533286, -0.4186885, -7.7248626, 3.4608164, -4.2297873, 0
128, 2780444279, 0.26157644, -0.6053981, 0.6214822, -0.42288676, -7.098755, 4.069098, -4.0671687, 0
129, 2780460946, 0.25088212, -0.577893, 0.6488492, -0.42672583, -6.2844687, 4.4870896, -3.3951764, 0
130, 2780477613, 0.24005744, -0.5466946, 0.67718834, -0.43001845, -6.063144, 5.323687, -3.0240445, 0
131, 2780494280, 0.22844508, -0.51215434, 0.7059946, -0.43253312, -4.897709, 6.4349422, -1.9245267, 0
132, 2780510947, 0.21555923, -0.4751842, 0.7346309, -0.433652, -3.0514226, 6.9356265, -0.91289806, 0
133, 2780527614, 0.20192681, -0.4361214, 0.76210797, -0.43384072, -1.1262853, 6.634835, -0.21215057, 0
134, 2780544281, 0.18815784, -0.39458215, 0.7879082, -0.43371063, 0.026375646, 6.144803, -0.16060257, 0
135, 2780560948, 0.17427866, -0.35032555, 0.8118311, -0.4333956, 1.7837033, 5.6534796, 0.7127571, 0
136, 2780577615, 0.16018689, -0.30495614, 0.8332164, -0.43254426, 3.2128654, 4.9576387, 1.6516542, 0
137, 2780594282, 0.14532685, -0.259409, 0.85173464, -0.4314367, 3.889964, 4.139309, 3.8290272, 0
138, 2780610949, 0.13050905, -0.21344458, 0.86582726, -0.43330628, 5.433063, 2.6137128, 4.7157183, 0
139, 2780627616, 0.11539926, -0.16766468, 0.8758259, -0.4376106, 6.2346754, 0.34954464, 4.5473747, 0
140, 2780644283, 0.100068316, -0.1231909, 0.88228446, -0.44315553, 6.4130573, -1.7178484, 3.0942497, 0
141, 2780660950, 0.08452686, -0.08045103, 0.8867988, -0.44718346, 5.2236066, -1.3044748, 1.9504585, 0
142, 2780677617, 0.06726803, -0.03732425, 0.88981, -0.4498027, 3.5791914, 1.6607267, 3.348649, 0
143, 2780694284, 0.047812607, 0.007910602, 0.88996506, -0.45344904, 5.5653057, 1.1928223, 4.7050037, 0
144, 2780710951, 0.02667921, 0.05402042, 0.88695025, -0.45792112, 5.794877, 1.9799203, 4.9338226, 0
145, 2780727618, 0.0036312034, 0.100694455, 0.8815626, -0.46119133, 6.535725, 2.2079566, 3.8877153, 0
146, 2780744285, -0.019586077, 0.14690189, 0.8737527, -0.46324393, 7.013419, 1.6008108, 4.045171, 0
147, 2780760952, -0.043313883, 0.19327638, 0.86240876, -0.46585587, 7.434471, 1.9037834, 3.5401373, 0
148, 2780777619, -0.06783003, 0.23965165, 0.84785444, -0.4680935, 7.4796185, 2.7905512, 3.4723854, 0
149, 2780794286, -0.09310615, 0.28601703, 0.8297001, -0.4702402, 8.597994, 2.246583, 2.5549803, 0
150, 2780810953, -0.118531555, 0.33207092, 0.8081829, -0.47172242, 9.067929, 2.6043398, 0.861248, 0
151, 2780827620, -0.14453283, 0.37648872, 0.78334737, -0.47300768, 10.302938, 2.0218077, -0.263072, 0
152, 2780844287, -0.17082478, 0.4178978, 0.7562987, -0.47349244, 10.704646, 0.6676361, -0.7083473, 0
153, 2780860954, -0.19689691, 0.45540282, 0.7283702, -0.4725668, 10.41861, -0.9105717, -1.1505451, 0
154, 2780877621, -0.22270752, 0.48814562, 0.70096993, -0.4698495, 9.37728, -2.970103, -0.64503574, 0
155, 2780894288, -0.24763745, 0.5156574, 0.6752703, -0.4656024, 8.224884, -4.4072204, 0.37293243, 0
156, 2780910955, -0.27281898, 0.53700805, 0.65122676, -0.46162555, 7.0457487, -5.931977, 1.0080023, 0
157, 2780927622, -0.29574534, 0.55261886, 0.63157773, -0.4563543, 6.4722333, -7.144582, -1.0906153, 0
158, 2780944289, -0.31568977, 0.56324816, 0.61723834, -0.44956738, 6.2370567, -7.564855, -1.560153, 0
159, 2780960956, -0.33258218, 0.56977767, 0.60739964, -0.4425051, 6.550782, -7.928377, -2.1263366, 0
160, 2780977623, -0.34634474, 0.572737, 0.6009864, -0.43684724, 6.5316434, -8.64891, -2.1694775, 0
161, 2780994290, -0.35718775, 0.57221323, 0.5976066, -0.43342575, 6.7947335, -10.217564, -1.5921688, 0
162, 2781010957, -0.36467472, 0.568206, 0.5976935, -0.4323417, 6.2547626, -12.118863, -1.6356926, 0
163, 2781027624, -0.3672371, 0.5612802, 0.6018682, -0.43342656, 5.444488, -14.472904, 0.58113384, 0
164, 2781044291, -0.3683038, 0.54905105, 0.6065366, -0.44160047, 7.413963, -16.671211, -0.24670696, 0
165, 2781060958, -0.36260915, 0.535289, 0.6147506, -0.45173472, 9.66917, -19.059412, 0.26287556, 0
166, 2781077625, -0.35021538, 0.5190234, 0.6246574, -0.46665782, 13.497411, -23.587254, 1.7507381, 0
167, 2781094292, -0.328162, 0.49933773, 0.6379788, -0.48575422, 18.645607, -29.22059, 4.905512, 0
168, 2781110959, -0.29549718, 0.4732883, 0.65641487, -0.5077415, 25.889143, -33.959454, 8.327782, 0
169, 2781127626, -0.25127298, 0.43612814, 0.6803519, -0.532708, 36.432087, -36.806446, 20.243662, 0
170, 2781144293, -0.19740547, 0.3798107, 0.7011001, -0.57029486, 47.394154, -31.387856, 37.090115, 0
171, 2781160960, -0.13348225, 0.30469647, 0.70978063, -0.620932, 53.101456, -22.643486, 34.423233, 0
172, 2781177627, -0.045712713, 0.22012725, 0.7187975, -0.65786546, 67.569565, -13.341606, 16.900377, 0
173, 2781194294, 0.07366147, 0.12570359, 0.73528767, -0.6619118, 74.72193, 13.204775, 21.210848, 0
174, 2781210961, 0.20588031, 0.028496588, 0.7365973, -0.64360553, 57.26737, 54.219, 29.92134, 0
175, 2781227628, 0.3377048, -0.06734713, 0.71380025, -0.60984546, 31.510984, 77.58384, 50.958706, 0
176, 2781244295, 0.46148822, -0.16778024, 0.65256613, -0.5770947, -23.10906, 101.0091, 53.53022, 0
177, 2781260962, 0.5526024, -0.29327896, 0.5777023, -0.52429074, -61.510445, 77.41959, 30.577488, 0
178, 2781277629, 0.6159482, -0.3965826, 0.47092882, -0.491486, -71.75634, 66.89039, 14.294546, 0
179, 2781294296, 0.6666125, -0.49029818, 0.33170012, -0.45300436, -65.70339, 94.4413, -10.566096, 0
180, 2781310963, 0.64290106, -0.617519, 0.22677518, -0.39233133, -100.678894, -3.2146027, -77.279236, 0
181, 2781327630, 0.6212086, -0.685988, 0.15127228, -0.34733164, -56.002728, -36.36023, -34.836018, 0
182, 2781344297, 0.6579355, -0.67684704, 0.091658466, -0.3171754, -54.688118, -42.746815, 0.871788, 0
183, 2781360964, 0.7014743, -0.6405014, 0.03479442, -0.3106181, -27.723629, -34.001812, -37.736145, 0
184, 2781377631, 0.69468254, -0.64591974, -7.268656E-4, -0.31655324, -11.667761, -29.784082, -28.033953, 0
185, 2781394298, 0.7080855, -0.6225207, -0.03474274, -0.33147904, -15.856521, -35.119335, -13.280834, 0
186, 2781410965, 0.7369705, -0.5760012, -0.06419216, -0.34782046, -3.9520502, -27.387701, -27.751507, 0
187, 2781427632, 0.75814706, -0.53424203, -0.085834, -0.3639141, -0.3676757, -24.687061, -28.931448, 0
188, 2781444299, 0.7713964, -0.4969711, -0.09838101, -0.3850856, 2.3578792, -22.301394, -25.695211, 0
189, 2781460966, 0.7781589, -0.4618234, -0.10399215, -0.41276622, -0.6985629, -20.515314, -22.32134, 0
190, 2781477633, 0.78047603, -0.42543426, -0.102693245, -0.4464521, -1.9947801, -19.112038, -22.16505, 0
191, 2781494300, 0.7759819, -0.39113942, -0.090655744, -0.48646265, -2.3501158, -14.814968, -22.69115, 0
192, 2781510967, 0.7651777, -0.35988912, -0.067093484, -0.52960724, -5.1555014, -11.273335, -20.27391, 0
193, 2781527634, 0.7522549, -0.32512966, -0.03642155, -0.5719083, -9.080781, -6.0189753, -15.798912, 0
194, 2781544301, 0.74066556, -0.28059232, -0.006440859, -0.6104454, -9.549458, 1.1021714, -11.136522, 0
