sep=,
DeviceTag:,RW2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2024-06-16 16:26:42.845 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
63, 1351563749, 0.61587006, 0.7110455, -0.0473481, -0.3359706, 0.4775759, 0.65466946, 1.074646, 0
64, 1351580416, 0.6209549, 0.7098284, -0.03288257, -0.33087313, -1.1392765, 2.3083112, -3.672893, 0
65, 1351597083, 0.6161192, 0.71741694, -0.021127483, -0.32444325, -1.5743937, 3.3841126, -2.5367541, 0
66, 1351613750, 0.6083139, 0.7267504, -0.010241863, -0.31887782, -0.17430703, 1.2770153, 1.4682922, 0
67, 1351630417, 0.6054522, 0.73197246, 0.0016290538, -0.3124758, -0.44852555, -0.32758328, 1.1838398, 0
68, 1351647084, 0.6043517, 0.73499304, 0.012461144, -0.30722737, -1.9832193, -0.5753067, 0.18068314, 0
69, 1351663751, 0.60674703, 0.73439306, 0.024831604, -0.30316296, -2.2550247, -0.3920594, -2.5273275, 0
70, 1351680418, 0.60588354, 0.73530453, 0.03434486, -0.30174923, -5.8017464, -4.8956356, -1.7085743, 0
71, 1351697085, 0.60283834, 0.7366071, 0.038083743, -0.30421257, -1.1018991, -3.9975846, 2.8841724, 0
72, 1351713752, 0.60908496, 0.73044765, 0.045207933, -0.30564323, 0.29830948, 1.5248165, -0.12922573, 0
73, 1351730419, 0.6131243, 0.72566694, 0.049809355, -0.30822858, -2.558196, -0.20638739, 0.9134836, 0
74, 1351747086, 0.6160927, 0.7216054, 0.051298466, -0.31158233, -1.9807043, 0.5246694, -0.16249561, 0
75, 1351763753, 0.6164097, 0.7195624, 0.049954794, -0.31586894, -2.5741286, -0.5423345, -0.10769558, 0
76, 1351780420, 0.61603975, 0.7177726, 0.04689914, -0.3210884, -2.6295865, -0.16077422, -0.89597607, 0
77, 1351797087, 0.6122889, 0.7187731, 0.040799648, -0.32680646, -1.9222753, 1.027531, -0.62073517, 0
78, 1351813754, 0.6080484, 0.7201276, 0.03393546, -0.33247757, -0.27866277, 1.2589743, 0.3939371, 0
79, 1351830421, 0.60474867, 0.72116846, 0.029122924, -0.3366701, 0.9345235, 2.3622148, 1.0369301, 0
80, 1351847088, 0.60358924, 0.7207447, 0.02671449, -0.3398429, 1.6840072, 1.4239483, 2.6911983, 0
81, 1351863755, 0.60739034, 0.71661013, 0.027631894, -0.34173554, 1.346623, -0.8244235, 4.0555468, 0
82, 1351880422, 0.6160936, 0.7081739, 0.029238949, -0.34360367, 1.05032, -1.5598692, 5.1274605, 0
83, 1351897089, 0.62831676, 0.6967894, 0.03112058, -0.3445778, 1.0205592, -1.8541436, 3.5985126, 0
84, 1351913756, 0.6386359, 0.68744946, 0.031119738, -0.34436756, 0.7180603, -0.62040913, -0.8537903, 0
85, 1351930423, 0.6396363, 0.686806, 0.028609835, -0.34401184, 1.1568825, -0.21318911, -2.6273327, 0
86, 1351947090, 0.638512, 0.6888181, 0.027054803, -0.34219873, 2.5323431, -0.5969316, -0.23710251, 0
87, 1351963757, 0.64209986, 0.6875189, 0.030097362, -0.33781546, 2.502681, 0.114825755, -1.66082, 0
88, 1351980424, 0.6446502, 0.6876184, 0.035154805, -0.33222103, 1.6530666, 1.9180362, -3.4479847, 0
89, 1351997091, 0.64443296, 0.69001436, 0.040971514, -0.32696676, 1.3032814, 0.85709953, -2.4574327, 0
90, 1352013758, 0.6449114, 0.6915381, 0.048096143, -0.32179293, 1.1393574, -0.07830039, -1.4645338, 0
91, 1352030425, 0.6477691, 0.69051147, 0.05622314, -0.31690338, 0.7199507, -0.043831337, -0.7133789, 0
92, 1352047092, 0.6527055, 0.68705475, 0.06488725, -0.31260267, -2.8383174, -3.824835, 1.7859201, 0
93, 1352063759, 0.6636359, 0.6769097, 0.069170885, -0.3107985, -1.499679, -4.160497, 5.678688, 0
94, 1352080426, 0.6793776, 0.6621697, 0.07204084, -0.30787498, -0.37586603, 2.094327, -1.5941515, 0
95, 1352097093, 0.684027, 0.6585431, 0.07311768, -0.30509263, -1.6104254, 4.6934147, -5.5318623, 0
96, 1352113760, 0.6818399, 0.6615307, 0.07261631, -0.3036417, -1.1810788, 2.8135207, 2.1884727, 0
97, 1352130427, 0.6879081, 0.6564582, 0.07290524, -0.30088124, 0.8576518, 2.4996336, 5.2138224, 0
98, 1352147094, 0.7038315, 0.6410415, 0.0780822, -0.2959556, -0.16110785, 1.5717436, 2.4478264, 0
99, 1352163761, 0.72019583, 0.62434065, 0.08418488, -0.29056746, -1.3510891, 1.8113508, -1.8446207, 0
