sep=,
DeviceTag:,RW2,,,,,,,,,,,,,,,,,
FirmwareVersion:,2.1.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Un-synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2024-06-16 16:48:07.178 +0200,,,,,,,,,,,,,,,,,
 2024,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status,Euler_X,Euler_Y,Euler_Z
21,2635172890,-3.7875133,0.37864995,-2.9042673,0,101.67049407221029,15.207513941126024,70.74639896899643
22,2635189557,-3.6163063,0.4057035,-3.2493348,0,104.5025444770401,13.72376309447543,70.5795663119413
23,2635206224,-2.640038,0.42700765,-1.6219864,0,107.0651426601192,12.219162633883935,70.98915163974345
24,2635222891,-1.8658653,0.0803395,0.61423683,0,108.49881959622775,10.8708222009676,71.87340681050003
25,2635239558,-2.4331815,-0.6901268,-0.7332239,0,108.20597365615218,9.738288186359581,73.00510110257429
26,2635256225,-3.032145,-1.9346843,-3.9531298,0,107.53105139124307,8.76466361510142,74.25077966661689
27,2635272892,-3.20504,-3.4996493,-5.370145,0,107.62326128530965,8.036549509143056,75.50535089887501
28,2635289559,-2.3438005,-5.080265,-6.0747747,0,107.96915366485881,7.553106334830673,76.5588578176419
29,2635306226,-1.9995141,-5.7118073,-7.7076807,0,109.20712521104706,7.250935925423924,77.06514506606506
30,2635322893,-3.2440157,-3.7276917,-6.8844175,0,112.79144022905507,7.042599946564731,77.57933445022903
31,2635339560,-4.2188454,-3.4455059,-4.0311747,0,117.32823979814702,7.014238831824586,78.08073880470214
32,2635356227,-2.6028752,-3.6889057,-1.7578907,0,120.52840931849376,7.467738527730602,78.53327887521901
33,2635372894,-0.9955238,-3.0118759,-2.4154058,0,122.3159802492381,7.856587272323797,78.7607439353997
34,2635389561,-0.8323602,-3.1052458,-1.5032921,0,125.30235369158733,8.286969525321638,78.82246002712695
35,2635406228,-0.6971481,-1.4780791,2.1215782,0,128.63687648504978,8.932318436321452,79.0015634404287
36,2635422895,-1.4744694,-0.90734905,2.4503508,0,129.6589357761696,9.444592035686512,79.6925547551625
37,2635439562,-1.500936,-3.2028677,-1.3898726,0,129.606425557431,9.729235445310321,80.83399634161557
38,2635456229,1.1581355,-7.1225953,-5.8870296,0,130.26276950386082,10.865400382519677,81.15816190299387
39,2635472896,-1.0074254,-0.9451956,-2.1944828,0,134.33669980177413,11.57904687400411,81.12111301617988
40,2635489563,2.598899,-0.3061591,5.09772,0,139.20618061640394,11.492929283169339,81.39625211672937
41,2635506230,3.0471225,2.4765272,10.393902,0,140.80128497965893,11.887831112135121,81.61238130560129
42,2635522897,2.7958784,3.5173452,7.155508,0,138.6293991627791,11.470818864270878,81.96243138090644
43,2635539564,0.0342138,1.2188435,0.56808376,0,136.66120849784252,10.495112245406911,82.46965861870355
44,2635556231,-1.0253751,-0.49180633,-3.1578913,0,137.00340226944834,9.531622998289508,82.92591027472724
45,2635572898,-0.8839664,-0.35847992,-2.4231067,0,139.3964681445159,9.049090583865604,82.69803958149961
46,2635589565,2.7182703,1.7886117,0.45015526,0,142.1617306341157,8.878725327543245,82.05733933308765
47,2635606232,5.8509736,3.081392,1.6885366,0,144.07995928225426,8.348802397391374,81.52451066343795
48,2635622899,5.162567,1.893467,1.239747,0,144.84644797164162,7.184919591776125,81.1080659484917
49,2635639566,4.643207,0.21518755,-0.46466827,0,144.8126239479406,5.8828561394766465,80.45304078719158
50,2635656233,3.9632268,-0.38523665,-1.6746626,0,144.63671488574826,4.716599426187787,79.53972306752624
51,2635672900,3.2509253,-0.41520458,-0.5496273,0,144.41046824194817,3.7018163988295387,78.47566112455515
52,2635689567,4.8551607,-0.49369138,1.6711702,0,143.14766305843258,2.583138633018746,77.63276129740869
53,2635706234,2.8886938,-0.0037004806,1.6583643,0,140.16790733133274,1.2018002776317194,77.07031495607923
54,2635722901,-0.037140477,-0.6984563,-0.85352707,0,136.73993429734492,-0.35694757504466024,76.94795636492161
55,2635739568,0.2547681,-2.0113468,-1.1797771,0,133.70864170383936,-1.681667759044246,77.12443032552956
56,2635756235,-0.35283017,-2.348562,0.42323494,0,130.7034067932284,-2.7333950333757078,77.21635558529533
57,2635772902,-3.6260748,-1.916013,0.22899532,0,127.47107820795569,-3.629588105454092,77.43245600820856
58,2635789569,-4.488202,-1.7323738,-1.1324291,0,124.37603551524393,-4.351343204811426,77.87843098143209
59,2635806236,-4.099793,-2.0560102,-1.8315701,0,121.89257769975843,-4.9201833264531984,78.3186306387992
60,2635822903,-3.3347762,-2.262244,-2.1487255,0,119.81533248315237,-5.335030034747029,78.65432423105567
61,2635839570,-3.8795109,-2.2561193,-2.9978924,0,118.32858945170354,-5.543593023831421,78.94731027170586
62,2635856237,-3.9969974,-2.4731972,-2.7623591,0,117.54605180256061,-5.539419766628068,79.25815306774602
63,2635872904,-4.019009,-3.0684311,-2.1561613,0,117.03849999256047,-5.354303645276102,79.65014645471811
64,2635889571,-3.713451,-3.9518337,-2.469934,0,116.60503578760303,-4.942982554316378,80.0580719739443
